" ",Amherst,Antigonish,Baddeck,Borden,Charlottetown,Elmsdale,"Falmouth- for Windsor",Fredericton,"Fredericton Airport",Halifax,"Halifax Airport",Kentville,"Lower Sackville",Moncton,"Moncton Airport","New Glasgow","New Minas","North Sydney",Oromocto,Oxford,"Port Hawkesbury",Sackville,Salisbury,Stewiacke,Sydney,Truro,Whycocomagh,Wolfville,"Wolfville- Acadia University"
Amherst
Antigonish
Baddeck
Borden
Charlottetown
Elmsdale
"Falmouth- for Windsor"
Fredericton
"Fredericton Airport"
Halifax
"Halifax Airport"
Kentville
"Lower Sackville"
Moncton
"Moncton Airport"
"New Glasgow"
"New Minas"
"North Sydney"
Oromocto
Oxford
"Port Hawkesbury"
Sackville
Salisbury
Stewiacke
Sydney
Truro
Whycocomagh
Wolfville
"Wolfville- Acadia University"
